res19,res48,res57,res68,res78,res83,res94,res01,res09,res15,res16
38.0,1.0,-7.0,5.0,-5.0,-0.0,-1.0,-2.0,-5.0,-1.0,-1.0
48.0,20.0,7.0,5.0,6.0,4.0,9.0,8.0,-3.0,1.0,1.0
145.0,96.0,39.0,17.0,21.0,17.0,28.0,28.0,10.0,7.0,6.0
147.0,96.0,39.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
149.0,96.0,39.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
152.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
155.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
158.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
160.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
162.0,96.0,44.0,23.0,21.0,17.0,39.0,38.0,10.0,9.0,8.0
163.0,96.0,44.0,23.0,21.0,21.0,39.0,38.0,10.0,9.0,8.0
163.0,96.0,44.0,23.0,21.0,21.0,39.0,38.0,10.0,9.0,8.0
163.0,96.0,44.0,23.0,21.0,21.0,39.0,38.0,10.0,9.0,8.0
163.0,96.0,44.0,23.0,21.0,21.0,39.0,38.0,10.0,9.0,8.0
162.0,96.0,44.0,23.0,21.0,17.0,39.0,38.0,10.0,9.0,8.0
162.0,96.0,44.0,23.0,21.0,17.0,39.0,38.0,10.0,9.0,8.0
162.0,96.0,44.0,23.0,21.0,17.0,39.0,38.0,10.0,9.0,8.0
162.0,96.0,44.0,23.0,21.0,17.0,39.0,38.0,10.0,9.0,8.0
160.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
119.0,96.0,34.0,17.0,21.0,17.0,28.0,38.0,7.0,7.0,8.0
105.0,57.0,25.0,11.0,16.0,13.0,19.0,18.0,5.0,5.0,3.0
97.0,57.0,29.0,17.0,10.0,8.0,19.0,18.0,5.0,3.0,3.0
93.0,57.0,24.0,17.0,10.0,8.0,28.0,28.0,5.0,3.0,6.0
59.0,38.0,11.0,11.0,5.0,4.0,9.0,18.0,2.0,1.0,3.0
89.0,75.0,24.0,17.0,15.0,12.0,28.0,28.0,5.0,5.0,6.0
124.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
131.0,75.0,34.0,17.0,15.0,17.0,28.0,28.0,7.0,7.0,6.0
132.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
133.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
135.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
136.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
136.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
138.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
139.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
141.0,96.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
145.0,96.0,39.0,17.0,21.0,17.0,28.0,28.0,10.0,7.0,6.0
147.0,96.0,39.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
149.0,96.0,39.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
151.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
153.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
154.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
155.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
155.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
152.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
120.0,96.0,34.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
118.0,96.0,34.0,17.0,21.0,17.0,28.0,28.0,10.0,7.0,8.0
116.0,96.0,34.0,17.0,21.0,17.0,28.0,28.0,10.0,7.0,6.0
116.0,96.0,34.0,17.0,21.0,17.0,28.0,28.0,10.0,7.0,6.0
145.0,96.0,39.0,17.0,21.0,17.0,28.0,28.0,10.0,7.0,8.0
148.0,96.0,39.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
151.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
149.0,96.0,39.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
148.0,96.0,39.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
147.0,96.0,39.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
145.0,96.0,39.0,17.0,21.0,17.0,28.0,28.0,10.0,7.0,6.0
143.0,96.0,39.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
141.0,96.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
140.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
138.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
136.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
135.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
133.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
132.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
131.0,75.0,34.0,17.0,15.0,17.0,28.0,28.0,7.0,7.0,6.0
130.0,75.0,34.0,17.0,15.0,17.0,28.0,28.0,7.0,7.0,6.0
129.0,75.0,34.0,17.0,15.0,17.0,28.0,28.0,7.0,7.0,6.0
127.0,75.0,34.0,17.0,15.0,17.0,28.0,28.0,7.0,7.0,6.0
122.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
118.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
115.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
113.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
112.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
112.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
113.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
116.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
116.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
117.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
118.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
117.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
117.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
118.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
118.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
120.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
123.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
123.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
124.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
125.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
127.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,7.0,6.0
127.0,75.0,34.0,17.0,15.0,17.0,28.0,28.0,7.0,7.0,6.0
127.0,75.0,34.0,17.0,15.0,17.0,28.0,28.0,7.0,7.0,6.0
127.0,75.0,34.0,17.0,15.0,17.0,28.0,28.0,7.0,7.0,6.0
125.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
122.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
121.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
120.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
119.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
120.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
121.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
122.0,75.0,28.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
125.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,5.0,6.0
127.0,75.0,34.0,17.0,15.0,12.0,28.0,28.0,7.0,7.0,6.0
128.0,75.0,34.0,17.0,15.0,17.0,28.0,28.0,7.0,7.0,6.0
130.0,75.0,34.0,17.0,15.0,17.0,28.0,28.0,7.0,7.0,6.0
131.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
133.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
135.0,75.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
141.0,96.0,34.0,17.0,21.0,17.0,28.0,28.0,7.0,7.0,6.0
148.0,96.0,39.0,17.0,21.0,17.0,28.0,38.0,10.0,7.0,8.0
155.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
159.0,96.0,39.0,23.0,21.0,17.0,39.0,38.0,10.0,7.0,8.0
163.0,96.0,44.0,23.0,21.0,21.0,39.0,38.0,10.0,9.0,8.0
167.0,96.0,44.0,23.0,21.0,21.0,39.0,38.0,10.0,9.0,8.0
170.0,96.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
173.0,116.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
171.0,96.0,44.0,23.0,27.0,21.0,39.0,38.0,10.0,9.0,8.0
94.0,59.0,17.0,17.0,6.0,8.0,19.0,18.0,2.0,3.0,4.0
80.0,20.0,7.0,5.0,6.0,8.0,9.0,8.0,-0.0,3.0,1.0
39.0,20.0,3.0,5.0,-5.0,-0.0,-1.0,-2.0,-5.0,-1.0,-1.0
32.0,20.0,2.0,5.0,0.0,-0.0,9.0,8.0,-3.0,-1.0,1.0
58.0,20.0,6.0,5.0,0.0,4.0,9.0,8.0,-0.0,1.0,1.0
