res19,res48,res57,res68,res78,res83,res94,res01,res09,res15,res16
977.0,1108.0,122.0,171.0,152.0,103.0,216.0,130.0,32.0,30.0,27.0
966.0,1108.0,122.0,171.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
955.0,1108.0,122.0,171.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
943.0,1108.0,122.0,148.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
932.0,1035.0,122.0,148.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
921.0,1035.0,122.0,148.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
915.0,1035.0,122.0,148.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
904.0,1035.0,122.0,148.0,152.0,103.0,177.0,130.0,23.0,23.0,27.0
898.0,1035.0,122.0,148.0,152.0,103.0,177.0,130.0,23.0,23.0,27.0
893.0,1035.0,122.0,148.0,152.0,103.0,177.0,130.0,23.0,23.0,27.0
881.0,1035.0,122.0,148.0,152.0,103.0,177.0,130.0,23.0,23.0,27.0
746.0,962.0,104.0,148.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
718.0,962.0,104.0,126.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
695.0,889.0,104.0,126.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
678.0,889.0,104.0,126.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
673.0,889.0,104.0,126.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
673.0,889.0,104.0,126.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
785.0,889.0,104.0,126.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
802.0,889.0,104.0,126.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
802.0,889.0,104.0,126.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
808.0,889.0,104.0,126.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
819.0,962.0,104.0,126.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
808.0,889.0,104.0,126.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
808.0,889.0,104.0,126.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
814.0,889.0,104.0,126.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
814.0,889.0,104.0,126.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
830.0,962.0,104.0,148.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
853.0,962.0,104.0,148.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
853.0,962.0,104.0,148.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
859.0,962.0,104.0,148.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
864.0,962.0,104.0,148.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
876.0,1035.0,104.0,148.0,152.0,87.0,177.0,130.0,23.0,23.0,19.0
881.0,1035.0,122.0,148.0,152.0,103.0,177.0,130.0,23.0,23.0,27.0
881.0,1035.0,122.0,148.0,152.0,103.0,177.0,130.0,23.0,23.0,27.0
881.0,1035.0,122.0,148.0,152.0,103.0,177.0,130.0,23.0,23.0,27.0
763.0,962.0,104.0,148.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
746.0,962.0,104.0,148.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
735.0,895.0,104.0,148.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
729.0,895.0,104.0,148.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
724.0,962.0,104.0,148.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
729.0,962.0,104.0,148.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
836.0,962.0,104.0,148.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
847.0,962.0,104.0,148.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
864.0,962.0,104.0,148.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
