SFH,TH,MFH,AB
2236067,290392,958049,1301140
2453924,334242,1022044,1390949
2594398,340773,1090566,1480758
2695166,352378,1161729,1570569
2899568,371853,1232815,1671605
3040042,378384,1296500,1761416
3239485,427748,1374364,1873677
3363376,452040,1463334,1974713
3616959,471769,1548965,2086977
3685126,482304,1594332,2154333
3793031,486386,1628369,2210463
3863720,510840,1675354,2266596
3959364,519179,1702877,2311499
4029303,522444,1747622,2356405
3756798,510023,1642121,2214161
1672221,138792,486841,618558
940856,24998,96419,59023
115642,-107909,-323501,-492457
116069,-106859,-281862,-470487
-64014,-129653,-377329,-570235
369764,-46953,-131044,-223806
1451941,116913,489159,638807
2600047,341590,1094578,1476990
2695166,352378,1161729,1570569
2844092,363767,1215154,1637927
2995213,375118,1274510,1716511
3066765,400389,1324598,1783868
3233836,426931,1373117,1862452
3267732,448775,1427172,1929808
3441082,454490,1486528,2008391
3483889,462829,1508518,2053296
3622609,472585,1553603,2098201
3679476,475851,1577395,2143107
3696425,483936,1611360,2176786
3780770,485569,1619820,2199238
3804329,508391,1647269,2232916
3832211,509207,1658327,2244144
3863720,510840,1675354,2266596
3863720,510840,1675354,2253595
3730939,509207,1637483,2202935
3730939,509207,1611955,2180168
3703058,508391,1596892,2139549
3630725,507574,1585254,2126134
3697408,507574,1585254,2128324
3697408,507574,1608895,2157717
3768097,511656,1671522,2242054
3863720,510840,1675354,2255785
3875018,512473,1691114,2289047
3959364,519179,1702877,2311499
4023653,521628,1730704,2345179
4040601,524077,1760986,2378859
4091819,531543,1775258,2412534
4176164,543911,1792751,2434988
4193113,546360,1827752,2468667
4263801,567387,1862622,2524800
4413820,583850,1910256,2592155
4565900,609120,1966765,2659512
4617117,617207,1989056,2693192
4654275,619656,2007544,2726870
4687806,621289,2030449,2749323
4699105,622922,2045382,2771776
4777801,623738,2053049,2783003
4051053,490395,1697881,2279636
3373998,421368,1410899,1887383
2439280,267328,853805,1098981
975688,-17147,49012,11124
587879,-36484,-85991,-180876
246121,-83296,-258151,-424785
801249,34422,128401,126477
1565601,148268,522880,659090
2905217,372669,1230950,1667836
2989563,374302,1266412,1705284
3000862,375935,1279148,1727737
3028743,376751,1283787,1738963
3040042,378384,1296500,1761416
3066765,400389,1324598,1783868
3092624,406278,1337256,1795094
3103923,407911,1343142,1817546
3103923,407911,1343142,1817546
3182620,411404,1350555,1828771
3188269,414562,1351802,1839997
3188269,414562,1351802,1839997
3193918,415379,1360150,1851224
3193918,415379,1360150,1851224
3233836,426931,1373117,1862452
3233836,426931,1373117,1862452
3188269,414562,1348690,1817779
2991352,406278,1316413,1751891
2938770,378384,1250132,1697440
2899590,375935,1228774,1634369
2821608,374302,1208203,1607732
2737263,372669,1175853,1585279
2803946,372669,1187694,1608047
2809595,373486,1231774,1652851
3000862,375935,1279148,1716927
2989563,374302,1266412,1705284
2989563,374302,1266412,1705284
2849741,370220,1218001,1649152
2832793,362134,1195116,1615473
2827144,361318,1187449,1604249
2633943,351561,1150241,1559342
2622644,349928,1135762,1536890
2773862,355200,1165429,1581797
2838443,362951,1203665,1626700
2616995,344039,1131123,1525664
2600047,341590,1097690,1491986
2566517,339957,1082339,1469532
2487821,339140,1077700,1458307
2487821,339140,1077700,1458307
2482171,338324,1074853,1447081
2363951,335875,1024357,1372195
2256762,306200,925860,1246303
1970356,237089,824871,1101961
1772614,197775,737842,974602
1763709,219714,728431,979940
1826052,223091,740815,982445
1890577,226307,773552,1036875
1962910,259770,814937,1091641
2086779,263036,890308,1200519
2213470,266301,928074,1256234
2207820,265485,926827,1245007
2219119,272135,935449,1267462
2236067,290392,958049,1301140
2346020,309786,991956,1334818
2436976,331792,1004692,1357272
2442626,332609,1013705,1368498
2476522,337507,1067132,1435853
2616995,344039,1131123,1525664
2832793,362134,1195116,1615473
2899568,371853,1232815,1671605
2995213,375118,1274510,1716511
3040042,378384,1296500,1761416
3092624,406278,1337256,1795094
3098274,407095,1341895,1806321
2953234,379201,1255907,1697857
2686697,310674,1126681,1491008
2218228,260243,878857,1160183
2133125,251676,816592,1083281
2303191,255655,908829,1213144
2303191,268072,970151,1318327
2587607,325456,1061883,1431496
2676137,359364,1141656,1540375
2905217,372669,1234062,1669831
2995213,375118,1274510,1716511
3034393,377568,1286634,1750187
3054506,379201,1302274,1772641
3098274,407095,1341895,1806321
3188269,414562,1351802,1839997
3245134,428564,1402422,1884903
3250784,429380,1408662,1896130
3250784,429380,1408662,1896130
3245134,428564,1402422,1884903
3233836,426931,1373117,1862452
3233836,426931,1373117,1862452
3245134,428564,1402422,1884903
3193918,415379,1360150,1851224
3188269,414562,1351802,1839997
3182620,411404,1350555,1828771
2938770,378384,1263429,1697440
2615853,335174,1107424,1485438
2303001,276438,973864,1301843
2174540,249021,883036,1176083
2067597,244122,794646,1087953
2122981,259118,855199,1133451
2227094,299196,913859,1229423
2297268,303228,958693,1295077
2566517,339957,1079227,1447314
2605696,342406,1117218,1503213
2628294,350745,1137009,1548117
2773862,355200,1165429,1581797
2832793,362134,1195116,1615473
2893919,371036,1222640,1660379
2910867,373486,1252617,1694056
3000862,375935,1279148,1727737
3103923,407911,1343142,1817546
3256433,447142,1409909,1907355
3391256,452857,1469572,1985940
3472590,456123,1498580,2030844
3616959,471769,1548965,2086977
3628258,473402,1557933,2109427
3679476,475851,1577395,2143107
3679476,475851,1577395,2143107
2686886,281507,1004438,1336300
1672221,138792,485344,618558
893047,-10414,44878,803
470709,-74119,-175895,-336930
318937,-82284,-311920,-485508
482255,-55209,-139448,-279640
1409909,142553,437653,553764
2258000,299901,937621,1260830
2827144,361318,1187449,1591249
2893919,371036,1222640,1660379
2989563,374302,1266412,1705284
3040042,378384,1296500,1761416
